Tier,Priority Level,Page URL,Target Keyword,Position,Impressions (90d),Clicks (90d),CTR,Backlink Allocation %,Est. Links Needed,Primary Exact Anchor,Partial Match Anchor,Brand Anchor,Generic Anchor,Link Type Target: Directories/Citations %,Link Type Target: Niche Edits %,Link Type Target: Guest Posts %,Link Type Target: Resource Pages %,Link Type Target: High Authority Placements %
Tier 1,1,https://rapidautoshipping.com/state-to-state/california-to-michigan,california to michigan auto transport,16.7,12746,48,0.38%,10.0%,12-18,California to Michigan auto transport,ship car from CA to Michigan | auto transport California Michigan,Rapid Auto Shipping,learn more | click here | visit site,35%,25%,20%,10%,10%
Tier 1,1,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,virginia to ohio auto transport,9.64,9388,241,2.57%,10.0%,6-10,Virginia to Ohio auto transport,ship car VA to Ohio | auto shipping Virginia Ohio,Rapid Auto Shipping,learn more | get a quote | this company,35%,25%,20%,10%,10%
Tier 1,1,https://rapidautoshipping.com/austin-to-seattle-auto-transport,ship car from austin to seattle,14.47,6857,55,0.8%,10.0%,10-15,Austin to Seattle auto transport,ship car Austin to Seattle | auto shipping TX to WA,Rapid Auto Shipping,learn more | get started | visit site,35%,25%,20%,10%,10%
Tier 1,1,https://rapidautoshipping.com/state-to-state/arizona-to-colorado,arizona to colorado auto transport,7.41,2436,8,0.33%,10.0%,4-6,Arizona to Colorado auto transport,ship car AZ to CO | auto transport Arizona Colorado,Rapid Auto Shipping,learn more | here | check rates,35%,25%,20%,10%,10%
Tier 1,1,https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service,pennsylvania to illinois auto shipping,6.82,3699,41,1.11%,10.0%,4-6,Pennsylvania to Illinois auto transport,PA to IL car shipping | ship car Pennsylvania Illinois,Rapid Auto Shipping,learn more | get a quote | this service,35%,25%,20%,10%,10%
Tier 2,2,https://rapidautoshipping.com/state-to-state/arizona-to-new-jersey,arizona to new jersey auto transport,10.54,3077,48,1.56%,6.0%,6-10,Arizona to New Jersey auto transport,ship car AZ to NJ | auto shipping Arizona New Jersey,Rapid Auto Shipping,learn more | click here | visit site,40%,25%,15%,10%,10%
Tier 2,2,https://rapidautoshipping.com/state-to-state/california-to-florida,california to florida car shipping,70.0,361,0,0%,6.0%,12-18,California to Florida car shipping,ship car CA to FL | auto transport California Florida,Rapid Auto Shipping,learn more | get a quote | this provider,40%,25%,15%,10%,10%
Tier 2,2,https://rapidautoshipping.com/state-to-state/texas-to-california,texas to california auto transport,N/A,0,0,N/A,6.0%,8-12,Texas to California auto transport,ship car TX to CA | auto shipping Texas California,Rapid Auto Shipping,learn more | here | check prices,40%,25%,15%,10%,10%
Tier 2,2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,new york to florida car shipping,66.96,1222,9,0.74%,6.0%,12-18,New York to Florida car shipping,ship car NY to FL | auto transport New York Florida,Rapid Auto Shipping,learn more | get started | this company,40%,25%,15%,10%,10%
Tier 2,2,https://rapidautoshipping.com/state-to-state/georgia-to-texas,georgia to texas auto transport,N/A,0,0,N/A,6.0%,8-12,Georgia to Texas auto transport,ship car GA to TX | auto shipping Georgia Texas,Rapid Auto Shipping,learn more | visit site | check rates,40%,25%,15%,10%,10%
Tier 3,3,https://rapidautoshipping.com/non-running-vehicle-transport,non-running car shipping,15.66,1737,0,0%,6.7%,10-15,non-running vehicle transport,non-running car shipping | ship non-running vehicle,Rapid Auto Shipping,learn more | get a quote | this service,45%,20%,15%,10%,10%
Tier 3,3,https://rapidautoshipping.com/state-to-state,state to state auto transport,49.94,35,0,0%,6.7%,12-18,state to state auto transport,interstate car shipping | cross-country auto transport,Rapid Auto Shipping,learn more | here | visit site,45%,20%,15%,10%,10%
Tier 3,3,https://rapidautoshipping.com/services/car-shipping-calculator,car shipping cost calculator,66.04,50078,89,0.18%,6.7%,12-18,car shipping calculator,car shipping cost calculator | auto transport quote calculator,Rapid Auto Shipping,learn more | try it | calculate your cost,45%,20%,15%,10%,10%
,,,,,,,,,,,,,,,,,,,
ANCHOR TEXT DISTRIBUTION RULES,,,,,,,,,,,,,,,,,,
Rule,Details,,,,,,,,,,,,,,,,,
Exact match anchors: max 15% of total links per page,"Never exceed 15%. Example: if a page has 12 links built max 2 should use the exact primary anchor.",,,,,,,,,,,,,,,,,
Partial match anchors: 25-30% of total links,"Use variations of the keyword naturally. Combine with modifiers like 'best' 'affordable' 'reliable'.",,,,,,,,,,,,,,,,,
Brand anchors: 30-35% of total links,"Use 'Rapid Auto Shipping' or 'RapidAutoShipping.com' or 'Rapid Auto Shipping services'.",,,,,,,,,,,,,,,,,
Generic anchors: 15-20% of total links,"Use 'learn more' 'click here' 'visit site' 'get a quote' 'this company' 'here'.",,,,,,,,,,,,,,,,,
Naked URL anchors: 5-10% of total links,"Use 'rapidautoshipping.com' or 'https://rapidautoshipping.com/page-url'.",,,,,,,,,,,,,,,,,
NEVER use the same anchor twice in a row for the same page,"Rotate through all anchor types. Check task sheet before assigning anchor for new link.",,,,,,,,,,,,,,,,,
