Task #,Website Domain,Link Type,Est. Authority,Authority Tier,Tier,Target Page URL,Primary Anchor Text,Anchor Type to Use,Alternate Anchor 1,Alternate Anchor 2,Assigned To,Contact Method,Outreach Date,Follow-up 1,Follow-up 2,Status,Live Link URL,Verification Date,dofollow/nofollow,DR Confirmed,Screenshot Taken,Notes
1,move.org,Niche Edit,DR 70+,Tier A,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,car shipping company,best auto transport service,Person A,Editorial submission form,,,,Not Started,,,,,,All 4 competitors listed. Submit for 'Best Car Shipping' review.
2,cars.com,Niche Edit,DR 92,Tier A,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,top car shipping companies,auto transport provider,Person A,cars.com/car-shipping editorial,,,,Not Started,,,,,,Best car shipping companies list. 3 competitors featured.
3,usnews.com,Niche Edit,DR 93,Tier A,Tier 1,https://rapidautoshipping.com/,car shipping company,Partial Match,Rapid Auto Shipping,learn more,Person A,cars.usnews.com editorial,,,,Not Started,,,,,,Best car shipping rankings. All 4 competitors listed.
4,cartalk.com,Niche Edit,DR 82,Tier A,Tier 1,https://rapidautoshipping.com/,auto transport service,Partial Match,Rapid Auto Shipping,car shipping provider,Person A,cartalk.com editorial,,,,Not Started,,,,,,"Car shipping guide. Montway, Sherpa, AmeriFreight listed."
5,freightwaves.com,Niche Edit,DR 76,Tier A,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,reliable auto transport,car shipping service,Person A,Checkpoint editorial team,,,,Not Started,,,,,,Best car shipping review. All 4 competitors listed.
6,movebuddha.com,Niche Edit,DR 66,Tier A,Tier 1,https://rapidautoshipping.com/state-to-state/california-to-michigan,ship car from California to Michigan,Partial Match,California to Michigan auto transport,Rapid Auto Shipping,Person A,editor@movebuddha.com,,,,Not Started,,,,,,'How to Ship a Car' guide. Reviews competitors. Pitch inclusion.
7,automoblog.com,Niche Edit,DR 62,Tier A,Tier 1,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,Virginia to Ohio car shipping,Partial Match,Rapid Auto Shipping,learn more,Person A,Editorial contact form,,,,Not Started,,,,,,"Reviews AmeriFreight, Montway, Sherpa individually."
8,retirementliving.com,Niche Edit,DR 61,Tier A,Tier 2,https://rapidautoshipping.com/state-to-state/new-york-to-florida,Rapid Auto Shipping,Brand,New York to Florida car shipping,ship car NY to FL,Person A,Editorial team,,,,Not Started,,,,,,Best car shipping reviews. All 4 competitors listed.
9,screened.com,Niche Edit,DR 56,Tier B,Tier 1,https://rapidautoshipping.com/austin-to-seattle-auto-transport,Austin to Seattle auto transport,Exact Match,Rapid Auto Shipping,get a quote,Person A,Blog editorial,,,,Not Started,,,,,,Best car transport companies blog post.
10,citizenshipper.com,Niche Edit,DR 56,Tier B,Tier 1,https://rapidautoshipping.com/state-to-state/arizona-to-colorado,Rapid Auto Shipping,Brand,Arizona to Colorado car shipping,auto transport AZ to CO,Person A,Blog editorial,,,,Not Started,,,,,,"Reviews AmeriFreight, Montway in blog post."
11,agoyu.com,Niche Edit,DR 52,Tier B,Tier 1,https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service,PA to IL auto transport,Partial Match,Rapid Auto Shipping,learn more,Person A,Comparison platform submission,,,,Not Started,,,,,,Moving comparison site. 3 competitors listed.
12,arcrelocation.com,Niche Edit,DR 51,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/texas-to-california,Rapid Auto Shipping,Brand,Texas to California auto transport,ship car TX to CA,Person A,Site contact form,,,,Not Started,,,,,,'5 Best Car Transport Companies' article.
13,jackcooper.com,Niche Edit,DR 56,Tier B,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,Brand,top car shipping company,learn more,Person A,Blog editorial,,,,Not Started,,,,,,Top 10 car shipping companies article.
14,extraspace.com,Niche Edit,DR 76,Tier A,Tier 2,https://rapidautoshipping.com/state-to-state/california-to-florida,ship car across country,Partial Match,Rapid Auto Shipping,California to Florida car shipping,Person A,Blog team via site,,,,Not Started,,,,,,'How to Ship Your Car' article.
15,consumeraffairs.com,Niche Edit,DR 86,Tier A,Tier 3,https://rapidautoshipping.com/non-running-vehicle-transport,non-running car shipping,Exact Match,Rapid Auto Shipping,learn more about non-running transport,Person A,Accredited business application,,,,Not Started,,,,,,'Cost to Ship a Car' guide.
16,allaroundmoving.com,Guest Post Placement,DR 56,Tier B,Tier 1,https://rapidautoshipping.com/state-to-state/california-to-michigan,California to Michigan auto transport,Exact Match,Rapid Auto Shipping,ship your car from CA to Michigan,Person A,info@allaroundmoving.com,,,,Not Started,,,,,,1.5M+ visitors. Negotiate placement. Send brief to content team.
17,123relocation.com,Guest Post Placement,DR 46,Tier B,Tier 1,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,Rapid Auto Shipping,Brand,Virginia to Ohio car shipping,reliable auto transport,Person A,Submission form,,,,Not Started,,,,,,US relocation guides. Get topic approved. Content team writes.
18,connect.moversville.com,Guest Post Placement,DR 46,Tier B,Tier 1,https://rapidautoshipping.com/austin-to-seattle-auto-transport,learn more,Generic,Austin to Seattle auto transport,Rapid Auto Shipping,Person A,Guidelines page,,,,Not Started,,,,,,"2,500+ industry newsletter. Secure slot. Content team drafts."
19,truckin247.com,Guest Post Placement,DR 41,Tier B,Tier 3,https://rapidautoshipping.com/non-running-vehicle-transport,non-running vehicle transport,Exact Match,Rapid Auto Shipping,click here,Person A,Site form,,,,Not Started,,,,,,"Movers, shipping, logistics. Secure placement only."
20,fccr.co,Guest Post Placement,DR 41,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/arizona-to-new-jersey,Rapid Auto Shipping,Brand,AZ to NJ car shipping,auto transport Arizona to New Jersey,Person A,Site form,,,,Not Started,,,,,,"Trucking, freight. 2-3 links/piece. Negotiate placement."
21,simplyauto.app,Guest Post Placement,DR 41,Tier B,Tier 1,https://rapidautoshipping.com/state-to-state/arizona-to-colorado,Arizona to Colorado auto transport,Exact Match,Rapid Auto Shipping,get a free quote,Person A,Site form,,,,Not Started,,,,,,Automotive. 1 dofollow. Coordinate placement.
22,betterqualitylogistics.com,Guest Post Placement,DR 41,Tier B,Tier 1,https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service,Rapid Auto Shipping,Brand,PA to IL auto shipping,reliable car transport,Person A,Site form,,,,Not Started,,,,,,Transport tech. Up to 2 links. Secure topic approval.
23,tornadodave.com,Guest Post Placement,DR 41,Tier B,Tier 2,https://rapidautoshipping.com/state-to-state/california-to-florida,visit site,Generic,California to Florida car shipping,Rapid Auto Shipping,Person A,contact@tornadodave.com,,,,Not Started,,,,,,Moving tips. Up to 3 dofollow. Negotiate placement.
