Date,Clicks,Impressions,CTR,Position
2025-12-13,39,5977,0.65%,24.3
2025-12-14,31,6378,0.49%,26.4
2025-12-15,39,8185,0.48%,28.4
2025-12-16,37,10818,0.34%,38.7
2025-12-17,28,7434,0.38%,28.5
2025-12-18,31,7100,0.44%,23.1
2025-12-19,44,7643,0.58%,27.9
2025-12-20,42,6484,0.65%,24.1
2025-12-21,35,6857,0.51%,27.2
2025-12-22,43,7791,0.55%,28.4
2025-12-23,45,9966,0.45%,37.8
2025-12-24,33,7711,0.43%,32.3
2025-12-25,26,6056,0.43%,25.7
2025-12-26,51,6442,0.79%,20.9
2025-12-27,32,6875,0.47%,22.8
2025-12-28,43,7666,0.56%,26.3
2025-12-29,48,7595,0.63%,23.3
2025-12-30,43,10759,0.4%,34.7
2025-12-31,63,9627,0.65%,27.6
2026-01-01,62,9037,0.69%,28.4
2026-01-02,63,8658,0.73%,18.6
2026-01-03,63,7213,0.87%,20
2026-01-04,83,8860,0.94%,24.6
2026-01-05,60,9064,0.66%,25.5
2026-01-06,52,8043,0.65%,20.3
2026-01-07,40,15262,0.26%,50.9
2026-01-08,33,13943,0.24%,49.8
2026-01-09,47,10555,0.45%,42.9
2026-01-10,30,9657,0.31%,40.2
2026-01-11,31,8496,0.36%,33.8
2026-01-12,52,7023,0.74%,27.7
2026-01-13,31,8937,0.35%,36.2
2026-01-14,40,8905,0.45%,39.1
2026-01-15,36,6070,0.59%,25.7
2026-01-16,41,6493,0.63%,28.8
2026-01-17,39,6069,0.64%,27.4
2026-01-18,37,7150,0.52%,32.5
2026-01-19,44,6834,0.64%,27.5
2026-01-20,40,8966,0.45%,41.8
2026-01-21,53,7609,0.7%,37.1
2026-01-22,38,6350,0.6%,29.2
2026-01-23,30,5599,0.54%,27.8
2026-01-24,36,6244,0.58%,31.3
2026-01-25,25,6349,0.39%,33.6
2026-01-26,46,7444,0.62%,34.3
2026-01-27,42,10503,0.4%,41.6
2026-01-28,44,12445,0.35%,53
2026-01-29,30,6694,0.45%,29.6
2026-01-30,35,6370,0.55%,28.9
2026-01-31,29,6454,0.45%,31.2
2026-02-01,40,6663,0.6%,32.3
2026-02-02,35,7464,0.47%,33
2026-02-03,31,9711,0.32%,39.7
2026-02-04,31,7555,0.41%,34.9
2026-02-05,38,6376,0.6%,27.4
2026-02-06,33,6181,0.53%,28.3
2026-02-07,40,5707,0.7%,28.7
2026-02-08,29,6328,0.46%,32.3
2026-02-09,35,6953,0.5%,31.6
2026-02-10,28,9283,0.3%,41.9
2026-02-11,29,7202,0.4%,35.2
2026-02-12,34,6151,0.55%,28.9
2026-02-13,26,5495,0.47%,26.9
2026-02-14,27,5499,0.49%,27.8
2026-02-15,24,5695,0.42%,28.3
2026-02-16,38,7299,0.52%,32
2026-02-17,39,7957,0.49%,34.5
2026-02-18,35,6864,0.51%,30.5
2026-02-19,42,6223,0.67%,26.5
2026-02-20,43,6878,0.63%,33
2026-02-21,34,6414,0.53%,29.9
2026-02-22,35,6066,0.58%,30.5
2026-02-23,32,6980,0.46%,33.3
2026-02-24,34,9383,0.36%,37.4
2026-02-25,24,7321,0.33%,34.8
2026-02-26,25,6400,0.39%,30.9
2026-02-27,29,5860,0.49%,27
2026-02-28,33,5271,0.63%,25.1
2026-03-01,23,5722,0.4%,27.5
2026-03-02,30,7655,0.39%,32.9
2026-03-03,26,6728,0.39%,27.5
2026-03-04,26,6456,0.4%,26.7
2026-03-05,27,6545,0.41%,25.4
2026-03-06,22,6353,0.35%,27.2
2026-03-07,19,6777,0.28%,27.7
2026-03-08,20,6096,0.33%,27.1
2026-03-09,24,7524,0.32%,30.3
2026-03-10,37,9527,0.39%,37
2026-03-11,35,7848,0.45%,28.8
2026-03-12,33,7605,0.43%,30
