Link #,Website Domain,Linking Page URL,Target Page Linked To,Anchor Text Used,Link Type (dofollow/nofollow),DR/DA Score,Verification Date,Screenshot Filename,Link Status,Verified By,Tier,Notes
1,,,,,,,,,Not Verified,,,
2,,,,,,,,,Not Verified,,,
3,,,,,,,,,Not Verified,,,
4,,,,,,,,,Not Verified,,,
5,,,,,,,,,Not Verified,,,
6,,,,,,,,,Not Verified,,,
7,,,,,,,,,Not Verified,,,
8,,,,,,,,,Not Verified,,,
9,,,,,,,,,Not Verified,,,
10,,,,,,,,,Not Verified,,,
11,,,,,,,,,Not Verified,,,
12,,,,,,,,,Not Verified,,,
13,,,,,,,,,Not Verified,,,
14,,,,,,,,,Not Verified,,,
15,,,,,,,,,Not Verified,,,
16,,,,,,,,,Not Verified,,,
17,,,,,,,,,Not Verified,,,
18,,,,,,,,,Not Verified,,,
19,,,,,,,,,Not Verified,,,
20,,,,,,,,,Not Verified,,,
21,,,,,,,,,Not Verified,,,
22,,,,,,,,,Not Verified,,,
23,,,,,,,,,Not Verified,,,
24,,,,,,,,,Not Verified,,,
25,,,,,,,,,Not Verified,,,
26,,,,,,,,,Not Verified,,,
27,,,,,,,,,Not Verified,,,
28,,,,,,,,,Not Verified,,,
29,,,,,,,,,Not Verified,,,
30,,,,,,,,,Not Verified,,,
31,,,,,,,,,Not Verified,,,
32,,,,,,,,,Not Verified,,,
33,,,,,,,,,Not Verified,,,
34,,,,,,,,,Not Verified,,,
35,,,,,,,,,Not Verified,,,
36,,,,,,,,,Not Verified,,,
37,,,,,,,,,Not Verified,,,
38,,,,,,,,,Not Verified,,,
39,,,,,,,,,Not Verified,,,
40,,,,,,,,,Not Verified,,,
41,,,,,,,,,Not Verified,,,
42,,,,,,,,,Not Verified,,,
43,,,,,,,,,Not Verified,,,
44,,,,,,,,,Not Verified,,,
45,,,,,,,,,Not Verified,,,
46,,,,,,,,,Not Verified,,,
47,,,,,,,,,Not Verified,,,
48,,,,,,,,,Not Verified,,,
49,,,,,,,,,Not Verified,,,
50,,,,,,,,,Not Verified,,,
