Page URL,Target Keyword,Current Position,Impressions (90d),Clicks (90d),CTR,Opportunity Score
https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,virginia to ohio auto transport,9.64,9388,241,2.57%,73.5
https://rapidautoshipping.com/state-to-state/california-to-michigan,california to michigan auto transport,16.7,12746,48,0.38%,72.0
https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service,pennsylvania to illinois auto shipping,6.82,3699,41,1.11%,59.1
https://rapidautoshipping.com/austin-to-seattle-auto-transport,ship car from austin to seattle,14.47,6857,55,0.8%,55.0
https://rapidautoshipping.com/state-to-state/arizona-to-colorado,arizona to colorado auto transport,7.41,2436,8,0.33%,53.9
https://rapidautoshipping.com/about-us,rapid auto shipping company,5.67,558,0,0.0%,50.8
https://rapidautoshipping.com/how-it-works,how auto transport works,5.86,465,0,0.0%,49.9
https://rapidautoshipping.com/state-to-state/alabama-to-colorado,alabama to colorado auto transport,10.48,3785,65,1.72%,49.8
https://rapidautoshipping.com/contact-us,rapid auto shipping contact,5.32,366,2,0.55%,49.7
https://rapidautoshipping.com/pennsylvania-to-ohio-auto-transport-service,pennsylvania to ohio auto transport,6.52,380,0,0.0%,48.0
https://rapidautoshipping.com/state-to-state/arizona-to-new-jersey,arizona to new jersey auto transport,10.54,3077,48,1.56%,47.0
https://rapidautoshipping.com/autonation-auction-car-transportation,does autonation ship cars,8.47,1160,1,0.09%,46.6
https://rapidautoshipping.com/adesa-auctions-auto-transport,adesa auto transport,5.53,145,4,2.76%,44.2
https://rapidautoshipping.com/california-to-georgia-auto-transport-service,california to georgia auto transport,7.79,105,0,0.0%,43.9
https://rapidautoshipping.com/state-to-state/alabama-to-texas,alabama to texas auto transport,14.09,4289,80,1.87%,43.2
https://rapidautoshipping.com/philadelphia-to-los-angeles-auto-transport,ship car philadelphia to los angeles,11.03,1561,1,0.06%,42.3
https://rapidautoshipping.com/state-to-state/alaska-to-idaho,car shipping alaska to los angeles,8.82,232,0,0.0%,42.1
https://rapidautoshipping.com/states,auto transport by state,8.59,108,0,0.0%,42.1
https://rapidautoshipping.com/illinois-to-georgia-auto-transport,illinois to georgia auto shipping,9.55,625,0,0.0%,42.0
https://rapidautoshipping.com/state-to-state/new-mexico-to-new-york,new york to alabama car shipping,9.04,169,0,0.0%,41.3
https://rapidautoshipping.com/state-to-state/alabama-to-new-jersey,new york to alabama car shipping,9.52,406,5,1.23%,38.8
https://rapidautoshipping.com/chicago-to-new-york-auto-transport,chicago to new york car shipping,10.03,131,0,0.0%,38.8
https://rapidautoshipping.com/state-to-state/connecticut-to-california,connecticut to california car shipping,10.36,216,0,0.0%,38.4
https://rapidautoshipping.com/pennsylvania-to-north-carolina-auto-transport-service,pennsylvania to north carolina auto transport,10.5,717,8,1.12%,38.1
https://rapidautoshipping.com/state-to-state/ohio-to-california,ohio to california auto transport,13.98,2182,0,0.0%,38.1
https://rapidautoshipping.com/services/ambulance-shipping,ambulance shipping service,10.49,160,0,0.0%,37.9
https://rapidautoshipping.com/state-to-state/california-to-kansas,california to north carolina car shipping,10.43,113,0,0.0%,37.8
https://rapidautoshipping.com/state-to-state/new-york-to-alabama,new york to alabama car shipping,16.98,4627,89,1.92%,37.7
https://rapidautoshipping.com/state-to-state/north-carolina-to-north-dakota,california to north carolina car shipping,10.45,56,0,0.0%,37.5
https://rapidautoshipping.com/state-to-state/louisiana-to-california,louisiana to california car shipping,11.84,1804,45,2.49%,36.9
