Task #,Website Domain,Type,Est. Authority,Target Page URL,Suggested Anchor Text,Assigned To,Contact Method,Status,Live Link URL,Verification Date,DR Check,Screenshot,Notes
1,move.org,Niche Edit,DR 70+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Editorial submission form,Not Started,,,,,All 4 competitors listed. Submit for review/ranking inclusion.
2,cars.com,Niche Edit,DR 90+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,cars.com/car-shipping editorial team,Not Started,,,,,"Best car shipping companies list. Montway, Sherpa, AmeriFreight listed."
3,usnews.com,Niche Edit,DR 90+,https://rapidautoshipping.com/,car shipping company,Person B,cars.usnews.com editorial,Not Started,,,,,Best car shipping companies ranking. All 4 competitors listed.
4,cartalk.com,Niche Edit,DR 80+,https://rapidautoshipping.com/,auto transport service,Person B,cartalk.com editorial,Not Started,,,,,"Car shipping guide section. Montway, Sherpa, AmeriFreight listed."
5,freightwaves.com,Niche Edit,DR 75+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Checkpoint editorial team,Not Started,,,,,Best car shipping companies review. All 4 competitors listed.
6,consumeraffairs.com,Directory,DR 85+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Accredited business application,Not Started,,,,,All 4 competitors have profiles. Apply for accredited brand.
7,movebuddha.com,Niche Edit,DR 65+,https://rapidautoshipping.com/,auto transport company,Person B,editor@movebuddha.com,Not Started,,,,,"Reviews Montway, Sherpa, AAS. Pitch for individual review."
8,automoblog.com,Niche Edit,DR 60+,https://rapidautoshipping.com/,Rapid Auto Shipping review,Person B,Editorial contact form,Not Started,,,,,"Reviews AmeriFreight, Montway, Sherpa."
9,retirementliving.com,Niche Edit,DR 60+,https://rapidautoshipping.com/,car shipping service,Person B,Editorial team,Not Started,,,,,Best car shipping reviews. All 4 competitors listed.
10,agoyu.com,Niche Edit,DR 50+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Comparison platform submission,Not Started,,,,,"Moving comparison site. Montway, Sherpa, AmeriFreight listed."
11,screened.com,Niche Edit,DR 55+,https://rapidautoshipping.com/,auto transport company,Person B,Blog editorial,Not Started,,,,,Best car transport companies blog. Competitors listed.
12,citizenshipper.com,Niche Edit,DR 55+,https://rapidautoshipping.com/,car shipping service,Person B,Blog editorial,Not Started,,,,,"Reviews AmeriFreight, Montway in blog."
13,arcrelocation.com,Resource Page,DR 50+,https://rapidautoshipping.com/how-it-works,how auto transport works,Person B,Site contact form,Not Started,,,,,5 Best Car Transport Companies article + relocation resource center.
14,jackcooper.com,Niche Edit,DR 55+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Blog editorial,Not Started,,,,,Top 10 best car shipping companies article.
15,extraspace.com,Niche Edit,DR 75+,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,state to state auto transport,Person B,Blog team,Not Started,,,,,'How to Ship Your Car' article references auto transport.
16,allaroundmoving.com,Guest Post,DR 55+,https://rapidautoshipping.com/state-to-state/california-to-michigan,California to Michigan auto transport,Person A,info@allaroundmoving.com,Not Started,,,,,1.5M+ monthly visitors. Moving niche. Verified write-for-us.
17,123relocation.com,Guest Post,DR 45+,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,Virginia to Ohio car shipping,Person A,Submission form on site,Not Started,,,,,US relocation guides since 1996. All 50 states.
18,connect.moversville.com,Guest Post,DR 45+,https://rapidautoshipping.com/austin-to-seattle-auto-transport,Austin to Seattle auto transport,Person A,Guest post guidelines page,Not Started,,,,,"2,500+ industry pros newsletter. Free guest posts."
19,truckin247.com,Guest Post,DR 40+,https://rapidautoshipping.com/non-running-vehicle-transport,non-running vehicle transport,Person A,Site submission form,Not Started,,,,,"Movers, dispatching, shipping, logistics topics."
20,fccr.co,Guest Post,DR 40+,https://rapidautoshipping.com/state-to-state/arizona-to-new-jersey,Arizona to New Jersey car shipping,Person A,Site submission form,Not Started,,,,,"Trucking, freight. 2-3 backlinks per piece."
21,simplyauto.app,Guest Post,DR 40+,https://rapidautoshipping.com/state-to-state/alabama-to-texas,Alabama to Texas auto transport,Person A,Submission form,Not Started,,,,,"Automotive. 1,500+ words. 1 dofollow link."
22,betterqualitylogistics.com,Guest Post,DR 40+,https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service,PA to IL auto transport,Person A,Site form,Not Started,,,,,"Transport tech, fleet management. Up to 2 links."
23,motorcraz.com,Guest Post,DR 40+,https://rapidautoshipping.com/autonation-auction-car-transportation,auction car transportation,Person A,contact@motorcraz.com,Not Started,,,,,"Auto dealerships, service centers. 1,000+ words."
24,tornadodave.com,Guest Post,DR 40+,https://rapidautoshipping.com/georgia-to-florida-auto-transport,Georgia to Florida car shipping,Person A,contact@tornadodave.com,Not Started,,,,,Moving tips. Up to 3 dofollow links.
25,urbansplatter.com,Guest Post,DR 50+,https://rapidautoshipping.com/state-to-state/new-york-to-alabama,cross-country car shipping,Person A,contact@urbansplatter.com,Not Started,,,,,Real estate/lifestyle. Relocation content angle.
26,carshippinghawaii.com,Guest Post,DR 40+,https://rapidautoshipping.com/state-to-state/louisiana-to-california,ship car across country,Person A,jerwin@clickleadclose.com,Not Started,,,,,Directly car shipping niche.
27,ioscm.com,Guest Post,DR 55+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person A,kimberley.jayne@ioscm.com,Not Started,,,,,Institute of Supply Chain Management. Publication placement.
28,fastexpert.com,Guest Post,DR 55+,https://rapidautoshipping.com/relocating-families-car-shipping-services,car shipping for relocating families,Person A,Site form,Not Started,,,,,Real estate directory. 50K+ agents. Relocation content.
29,crestnetwork.com,Guest Post,DR 50+,https://rapidautoshipping.com/state-to-state/california-to-michigan,interstate car shipping,Person A,Site form,Not Started,,,,,"200,000+ real estate pros. 1,000+ word min."
30,pods.com,Resource Page,DR 75+,https://rapidautoshipping.com/,auto transport service,Person B,Corporate partnerships,Not Started,,,,,Vehicle transport resource center. Partners with shipping providers.
31,relocationresources.org,Resource Page,DR 45+,https://rapidautoshipping.com/state-to-state/california-to-michigan,California to Michigan car shipping,Person B,Site contact,Not Started,,,,,Official Relocation Guide for the Nation.
32,wmcmovers.com,Resource Page,DR 45+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Association contact,Not Started,,,,,Washington Movers Conference. Useful Links section.
33,pcsgrades.com,Resource Page,DR 50+,https://rapidautoshipping.com/military-auto-shipping,military car shipping,Person B,Sponsored content inquiry,Not Started,,,,,Military PCS relocation. Accepts sponsored content.
34,shipacardirect.com,Resource Page,DR 50+,https://rapidautoshipping.com/,auto transport,Person B,Site contact form,Not Started,,,,,Dedicated car shipping resources page.
35,transportreviews.com,Directory,DR 60+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Company submission,Not Started,,,,,"CRITICAL. AmeriFreight has 29,306 reviews here. Claim profile."
36,bbb.org,Directory,DR 90+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,bbb.org/get-accredited,Not Started,,,,,A+ rating. All competitors listed. Apply for accreditation.
37,a1autotransport.com,Directory,DR 55+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Directory submission,Not Started,,,,,30+ year industry directory with ratings.
38,movecars.com,Directory,DR 45+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Site submission,Not Started,,,,,#1 car moving directory. Verified transporters.
39,automotive-fleet.com,Directory,DR 60+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Fleet solution directory submission,Not Started,,,,,B2B fleet transport publication.
40,dnb.com,Directory,DR 90+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Listing submission,Not Started,,,,,Dun & Bradstreet. Business credibility signal.
41,ttnews.com,Directory,DR 70+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person B,Freight brokers directory,Not Started,,,,,Transport Topics. Major industry publication.
42,feedspot.com,Directory,DR 75+,https://rapidautoshipping.com/,Rapid Auto Shipping blog,Person B,Blog submission,Not Started,,,,,Top 60 auto shipping blogs directory.
43,helpareporter.com (HARO),Media,DR 85+,varies by query,expert source link,Person A,Sign up + respond to queries,Not Started,,,,,Monitor daily for auto transport/moving queries.
44,qwoted.com,Media,DR 70+,varies by query,expert source link,Person A,Platform signup ($149.99/mo or free 3/mo),Not Started,,,,,Journalist-source matching. Vetted sources.
45,prnewswire.com,Media,DR 90+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person A,Press release distribution,Not Started,,,,,Montway uses this. Distribute data reports + company news.
46,einpresswire.com,Media,DR 80+,https://rapidautoshipping.com/,Rapid Auto Shipping,Person A,Press release submission,Not Started,,,,,Budget-friendly alternative to PR Newswire.
