Assigned To,Task #,Domain,Type,Target Page,Anchor Text,Priority
Person A,1,allaroundmoving.com,Guest Post,https://rapidautoshipping.com/state-to-state/california-to-michigan,California to Michigan auto transport,HIGH
Person A,2,123relocation.com,Guest Post,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,Virginia to Ohio car shipping,MEDIUM
Person A,3,connect.moversville.com,Guest Post,https://rapidautoshipping.com/austin-to-seattle-auto-transport,Austin to Seattle auto transport,MEDIUM
Person A,4,truckin247.com,Guest Post,https://rapidautoshipping.com/non-running-vehicle-transport,non-running vehicle transport,MEDIUM
Person A,5,fccr.co,Guest Post,https://rapidautoshipping.com/state-to-state/arizona-to-new-jersey,Arizona to New Jersey car shipping,MEDIUM
Person A,6,simplyauto.app,Guest Post,https://rapidautoshipping.com/state-to-state/alabama-to-texas,Alabama to Texas auto transport,MEDIUM
Person A,7,betterqualitylogistics.com,Guest Post,https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service,PA to IL auto transport,MEDIUM
Person A,8,motorcraz.com,Guest Post,https://rapidautoshipping.com/autonation-auction-car-transportation,auction car transportation,MEDIUM
Person A,9,tornadodave.com,Guest Post,https://rapidautoshipping.com/georgia-to-florida-auto-transport,Georgia to Florida car shipping,MEDIUM
Person A,10,urbansplatter.com,Guest Post,https://rapidautoshipping.com/state-to-state/new-york-to-alabama,cross-country car shipping,MEDIUM
Person A,11,carshippinghawaii.com,Guest Post,https://rapidautoshipping.com/state-to-state/louisiana-to-california,ship car across country,MEDIUM
Person A,12,ioscm.com,Guest Post,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH
Person A,13,fastexpert.com,Guest Post,https://rapidautoshipping.com/relocating-families-car-shipping-services,car shipping for relocating families,HIGH
Person A,14,crestnetwork.com,Guest Post,https://rapidautoshipping.com/state-to-state/california-to-michigan,interstate car shipping,MEDIUM
Person A,15,helpareporter.com (HARO),Media,varies,expert source link,HIGH
Person A,16,qwoted.com,Media,varies,expert source link,HIGH
Person A,17,prnewswire.com,Media,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH
Person A,18,einpresswire.com,Media,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH
Person B,1,move.org,Niche Edit,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL
Person B,2,cars.com,Niche Edit,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL
Person B,3,usnews.com,Niche Edit,https://rapidautoshipping.com/,car shipping company,CRITICAL
Person B,4,cartalk.com,Niche Edit,https://rapidautoshipping.com/,auto transport service,HIGH
Person B,5,freightwaves.com,Niche Edit,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH
Person B,6,consumeraffairs.com,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL
Person B,7,movebuddha.com,Niche Edit,https://rapidautoshipping.com/,auto transport company,MEDIUM
Person B,8,automoblog.com,Niche Edit,https://rapidautoshipping.com/,Rapid Auto Shipping review,MEDIUM
Person B,9,retirementliving.com,Niche Edit,https://rapidautoshipping.com/,car shipping service,MEDIUM
Person B,10,agoyu.com,Niche Edit,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM
Person B,11,screened.com,Niche Edit,https://rapidautoshipping.com/,auto transport company,MEDIUM
Person B,12,citizenshipper.com,Niche Edit,https://rapidautoshipping.com/,car shipping service,MEDIUM
Person B,13,arcrelocation.com,Resource Page,https://rapidautoshipping.com/how-it-works,how auto transport works,MEDIUM
Person B,14,jackcooper.com,Niche Edit,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM
Person B,15,extraspace.com,Niche Edit,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,state to state auto transport,HIGH
Person B,16,pods.com,Resource Page,https://rapidautoshipping.com/,auto transport service,HIGH
Person B,17,relocationresources.org,Resource Page,https://rapidautoshipping.com/state-to-state/california-to-michigan,California to Michigan car shipping,MEDIUM
Person B,18,wmcmovers.com,Resource Page,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM
Person B,19,pcsgrades.com,Resource Page,https://rapidautoshipping.com/military-auto-shipping,military car shipping,MEDIUM
Person B,20,shipacardirect.com,Resource Page,https://rapidautoshipping.com/,auto transport,MEDIUM
Person B,21,transportreviews.com,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL
Person B,22,bbb.org,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL
Person B,23,a1autotransport.com,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM
Person B,24,movecars.com,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL
Person B,25,automotive-fleet.com,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM
Person B,26,dnb.com,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH
Person B,27,ttnews.com,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping,MEDIUM
Person B,28,feedspot.com,Directory,https://rapidautoshipping.com/,Rapid Auto Shipping blog,HIGH
