Day,Time Block,Task Type,Task Description,Target Page
Monday,9:00-10:00,Prospect,"Search 10 guest post sites: 'write for us' + car shipping, 'guest post' + moving relocation",All
Monday,10:00-10:40,Outreach Email #1,Pitch allaroundmoving.com — Topic: 'Complete Guide to Shipping a Car from CA to MI',https://rapidautoshipping.com/state-to-state/california-to-michigan
Monday,10:40-11:20,Outreach Email #2,Pitch 123relocation.com — Topic: 'What to Know Before Interstate Car Shipping',https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service
Monday,11:20-12:00,Outreach Email #3,Pitch connect.moversville.com — Topic: '5 Car Shipping Mistakes to Avoid',https://rapidautoshipping.com/austin-to-seattle-auto-transport
Monday,12:00-1:00,LUNCH,,
Monday,1:00-1:30,Outreach Email #4,Pitch simplyauto.app — Topic: 'How Auto Transport Works in 2026',https://rapidautoshipping.com/state-to-state/alabama-to-texas
Monday,1:30-2:00,Outreach Email #5,Pitch betterqualitylogistics.com — Topic: 'Interstate Vehicle Logistics Guide',https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service
Monday,2:00-4:00,Content Task,"WRITE article: 'Complete Guide to Shipping Your Car from California to Michigan' (1,500 words). Link to /state-to-state/california-to-michigan with anchor 'California to Michigan auto transport'",https://rapidautoshipping.com/state-to-state/california-to-michigan
Monday,4:00-4:30,Follow-up #1-3,Follow up on any 3-5 day old pitches from last week,All
Monday,4:30-5:00,Admin,Update tracking sheet. Log all activity. Queue Tuesday prospects.,
Tuesday,9:00-10:00,Prospect,"Search 10 sites: 'contribute' + automotive blog, 'guest author' + transport, 'submit article' + logistics",All
Tuesday,10:00-10:40,Outreach Email #1,Pitch fccr.co — Topic: 'The Economics of State-to-State Car Shipping',https://rapidautoshipping.com/state-to-state/arizona-to-new-jersey
Tuesday,10:40-11:20,Outreach Email #2,Pitch truckin247.com — Topic: 'How to Ship a Non-Running Vehicle Safely',https://rapidautoshipping.com/non-running-vehicle-transport
Tuesday,11:20-12:00,Outreach Email #3,Pitch motorcraz.com — Topic: 'Shipping Cars from Auto Auctions: A Buyer's Guide',https://rapidautoshipping.com/autonation-auction-car-transportation
Tuesday,12:00-1:00,LUNCH,,
Tuesday,1:00-1:30,Outreach Email #4,Pitch tornadodave.com — Topic: 'Moving from Georgia to Florida? Ship Your Car',https://rapidautoshipping.com/georgia-to-florida-auto-transport
Tuesday,1:30-2:00,Outreach Email #5,Pitch urbansplatter.com — Topic: 'The Real Cost of Relocating Across States',https://rapidautoshipping.com/state-to-state/new-york-to-alabama
Tuesday,2:00-4:00,Content Task,"WRITE article: 'How to Ship a Non-Running Vehicle: Complete Guide' (1,200 words). Link to /non-running-vehicle-transport with anchor 'non-running vehicle transport service'",https://rapidautoshipping.com/non-running-vehicle-transport
Tuesday,4:00-4:30,Follow-up #1-3,Follow up on Monday's pitches that haven't responded,All
Tuesday,4:30-5:00,Admin,Update tracking sheet. Queue Wednesday prospects.,
Wednesday,9:00-10:00,Prospect,"Search 10 sites: 'write for us' + real estate relocation, 'guest post' + moving tips, 'contribute' + home buying",All
Wednesday,10:00-10:40,Outreach Email #1,Pitch carshippinghawaii.com — Topic: 'Cross-Country Car Shipping Routes Guide',https://rapidautoshipping.com/state-to-state/louisiana-to-california
Wednesday,10:40-11:20,Outreach Email #2,Pitch ioscm.com — Topic: 'The Last Mile of Vehicle Logistics',https://rapidautoshipping.com/
Wednesday,11:20-12:00,Outreach Email #3,Pitch fastexpert.com — Topic: 'Car Shipping Checklist for Relocating Families',https://rapidautoshipping.com/relocating-families-car-shipping-services
Wednesday,12:00-1:00,LUNCH,,
