Assigned To,Role,Task #,Domain,Link Type,Tier,Target Page,Anchor Text,Priority,Start Week
Person A,Niche Edits + Guest Post Placement + Media,1,move.org,Niche Edit,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,2,cars.com,Niche Edit,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,CRITICAL,Week 1
Person A,Niche Edits + Guest Post Placement + Media,3,usnews.com,Niche Edit,Tier 1,https://rapidautoshipping.com/,car shipping company,CRITICAL,Week 1
Person A,Niche Edits + Guest Post Placement + Media,4,cartalk.com,Niche Edit,Tier 1,https://rapidautoshipping.com/,auto transport service,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,5,freightwaves.com,Niche Edit,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,6,movebuddha.com,Niche Edit,Tier 1,https://rapidautoshipping.com/state-to-state/california-to-michigan,California to Michigan auto transport,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,7,automoblog.com,Niche Edit,Tier 1,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,Virginia to Ohio car shipping,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,9,screened.com,Niche Edit,Tier 1,https://rapidautoshipping.com/austin-to-seattle-auto-transport,Austin to Seattle auto transport,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,10,citizenshipper.com,Niche Edit,Tier 1,https://rapidautoshipping.com/state-to-state/arizona-to-colorado,Arizona to Colorado car shipping,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,11,agoyu.com,Niche Edit,Tier 1,https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service,PA to IL auto transport,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,13,jackcooper.com,Niche Edit,Tier 1,https://rapidautoshipping.com/,Rapid Auto Shipping,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,16,allaroundmoving.com,Guest Post Placement,Tier 1,https://rapidautoshipping.com/state-to-state/california-to-michigan,California to Michigan auto transport,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,17,123relocation.com,Guest Post Placement,Tier 1,https://rapidautoshipping.com/virginia-to-ohio-auto-transport-service,Virginia to Ohio car shipping,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,18,connect.moversville.com,Guest Post Placement,Tier 1,https://rapidautoshipping.com/austin-to-seattle-auto-transport,Austin to Seattle auto transport,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,21,simplyauto.app,Guest Post Placement,Tier 1,https://rapidautoshipping.com/state-to-state/arizona-to-colorado,Arizona to Colorado auto transport,HIGH,Week 1
Person A,Niche Edits + Guest Post Placement + Media,22,betterqualitylogistics.com,Guest Post Placement,Tier 1,https://rapidautoshipping.com/pennsylvania-to-illinois-auto-transport-service,PA to IL auto shipping,HIGH,Week 1
